Tweet_count,Username,Text,Created At,Retweets,Favorites
1,h2926281,"oi, vendo câmera Canon! 
modelo: Rebel XSi
Lente do kit 18-55mm
Pouquissimo uso :) 
interessados só me mandar um oizinho aqui! https://t.co/vL7quTpRQP",Wed Jun 15 16:39:20 +0000 2022,0,2
2,gabriela,"[VENDO] Uma câmera Canon Powershot SX400is porque ainda não aceitam abraço como pagamento de aluguel.
Tá novinha, usei pouquissimo, zero avarias e acompanha todos os acessórios originais + bolsinha de transporte por R$600. RT amigo pra me ajudar a pagar as contas ♥️ https://t.co/dbClTS0xi0",Sat Jan 04 15:58:45 +0000 2020,9,4
3,𝐩𝐨𝐫 𝐟𝐚𝐯𝐨𝐫 𝐥𝐨𝐫𝐞𝐧𝐚 ,"oi gente, ajuda a vender minha câmera?
vendo câmera canon 80D + lente sigma 17-50 f/2.8 - valor: R$4800,00

consigo negociar https://t.co/N5lpNccDRD",Wed Jun 07 17:15:34 +0000 2023,3,3
4,📸 ⚡,"VENDO CÂMERA CANON T3I (só CORPO)+ GRIP +BATERIAS
30K CLICKS

$1900 (NEGOCIÁVEL)

MAIORIA DAS MINHAS FOTOS @PIRUKAPHOTOS (IG) FORAM FEITAS COM ELA!
RT 🙏 🙏 🙏 RT https://t.co/lh21ImvIIE",Tue Jan 03 16:42:59 +0000 2023,11,13
5,Leticia Rodrigues,"Vendo câmera Cânon, T5.
Acompanha todos os acessórios.
Aceito propostas https://t.co/uuTfzuHO7U",Wed May 19 14:47:20 +0000 2021,1,3
6,Diego Baptista,"VENDO

Câmera Canon T5 (29332 clicks)

Lente Canon EF-S 18-55mm F/4-5.6 

Lente Canon EF-S 24mm F/2.8 STM

2 Baterias originais

1 Cabo USB 

1 Carregador 

1 Cartão de memória 8gb 

R$ 1600,00 à vista ou em até 12x no cartão de crédito + a taxa da máquina. https://t.co/rWs1egU09T",Wed Oct 16 14:06:53 +0000 2019,32,29
7,Gabs Rodrigues 🐸,"🚨 [VENDO] 🚨
Câmera Canon Eos Rebel T5 Dslr + Lente 18-55mm F3.5-5.6

Faço apenas pelo Mercado Livre e o frete é por minha conta!
💰 Preço: R$ 2.300 em até 10x sem juros

Se houver dúvidas ou interesse, pode me mandar DM 💚
Itens inclusos no próximo tweet https://t.co/kD04vXMBQr",Sun Nov 06 18:52:36 +0000 2022,19,20
8,Aaaaaa,"Vendo Câmera Canon EOS T6 com duas lentes de 18-55mm e 75-300mm.

Valor dm.

RT humilde. https://t.co/izkZ36b2TD",Tue Nov 12 17:39:42 +0000 2019,4,7
9,Rafael Cachina,"Vendo Câmera Canon Rebel T-100. Equipamento de entrada excelente. DSLR em ótimo estado de conservação. Com NF, caixa, kit com bateria e cartão de memória. Pouco mais de 2 mil clicks.

R$ 2.800,00

Me ajuda! Dê RT. ✅😍😍 https://t.co/X8KjnQstS6",Tue Mar 08 14:59:26 +0000 2022,16,14
10,mi,"[vendo] [Goiania] [camera] [Canon] 

Oi gente!! Tô vendendo minha câmera pra comprar outros equipamentos de trabalho. Pgto negociável. 

Rt pra fortalecer 🙏🏾 https://t.co/C0FpVlqb0k",Sun Aug 01 14:32:57 +0000 2021,43,29
11,ellay ⁷,"venda / vendo

Câmera CANON eos rebel T100

• menos de 1500 cliques
• pouquíssimo usada
• incluso lente 18-55mm, carregador, cartão sd 
• está sem defeito 
• mando vídeos e fts via dm 

$3000

tenho feedbacks! se tiver interesse me chama na dm https://t.co/DqTUGYGgg9",Tue Feb 28 02:00:55 +0000 2023,8,20
12,Brenda fernandes,Vendo câmera Cânon EOS M https://t.co/GcyDBJ1GIX,Thu Mar 05 17:57:15 +0000 2020,0,0
13,Gabs Rodrigues 🐸,"🚨 [VENDO] 🚨
Galeris ainda tô vendendo a minha câmera!  
Rtzinho?  

Câmera Canon Eos Rebel T5 Dslr + Lente 18-55mm F3.5-5.6 Faço apenas pelo Mercado Livre e o frete é por minha conta!
💰 Preço: R$ 1.900 em até 10x sem juros  

Se houver dúvidas ou interesse, pode me mandar DM💚 https://t.co/lleIpxtotk",Tue Jun 27 00:01:32 +0000 2023,20,21
14,Ricardo Panela,"Vendo câmera  canon T3 lente 85,55 n valor 650 reais ,semi  nova. https://t.co/CajXaJDB6j",Wed Jan 08 09:29:18 +0000 2020,1,0
15,Fotografo:@marcosferrazphoto,"Vendo Câmera Cânon 80D 

Interessado : 21 97636-7851 

Compartilha aí galera por favor https://t.co/Y0ffA5ToN5",Sun May 15 22:55:07 +0000 2022,1,1
16,manu,"🚨📸 Vendo câmera Canon EOS Rebel T6 + lente 18-55.

Câmera em perfeito estado, com todos os ítens originais (até a caixa).

DM ABERTA 📨

RT DA AMIZADE https://t.co/YsVddxBOOH",Fri Oct 14 19:24:48 +0000 2022,24,18
17,mari,"pessoas de fortaleza e joão pessoa 🗣️🗣️

vendo câmera canon 1200d rebel t5 + lente 18-55 

mandem pros seus amiguinhos !! https://t.co/jTz8HWkiju",Wed Jul 24 19:17:48 +0000 2024,4,9
18,Eduardo Ferreira,"Vendo Câmera Canon T6 em perfeito estado e pouco tempo de uso, 
motivo; quero comprar outra câmera.                   
Acompanha; câmera Canon T6, lente 16;55, bateria original, carregador original.  
Valor: 
câmera: R$1.350,00
Lente: R$250,00
Desconto câmera e lente juntos",Fri Mar 22 23:20:39 +0000 2019,1,2
19,Andi Hintz,"🚨VENDO🚨 
Câmera Canon EOS Rebel T2i - corpo da câmera, lente 18-35mm, carregador, cartão de memória, na caixa com os manuais. Câmera em ótimo estado e pouco tempo de uso. R$1.200,00 https://t.co/Y0yLEsjkC7",Tue Jul 28 23:42:55 +0000 2020,0,4
20,#pretty,"Atenção vendo casa, cachorro, guarda roupa, vaga de arquitetura na federal, um samsung velho, uma câmera canon, uma instax para comprar dois club renaissence Brasília https://t.co/p0HY0S4R2k",Fri Dec 22 01:35:51 +0000 2023,0,2
